Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %;employer_id
1;0;Сбербанк России;1481;Москва и обл.;28 894 527 589,00;28 973 297 245,00;-78 769 656,00;-0,27;3529
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 329 205 070,00;14 483 875 051,00;-154 669 981,00;-1,07;4181
3;0;Газпромбанк;354;Москва и обл.;6 554 665 558,00;6 614 267 527,00;-59 601 969,00;-0,9;3388
4;1;Национальный Клиринговый Центр;3466;Москва и обл.;3 959 360 947,00;3 669 008 617,00;290 352 330,00;7,91;
5;-1;Альфа-Банк;1326;Москва и обл.;3 761 758 370,00;3 687 383 320,00;74 375 050,00;2,02;80
6;0;Россельхозбанк;3349;Москва и обл.;3 541 806 193,00;3 297 821 385,00;243 984 808,00;7,4;58320
7;0;Банк «ФК Открытие»;2209;Москва и обл.;2 714 672 202,00;2 486 671 061,00;228 001 141,00;9,17;23040
8;0;Московский кредитный банк;1978;Москва и обл.;2 518 240 826,00;2 336 368 302,00;181 872 524,00;7,78;2492
9;0;Национальный Банк «Траст»;3279;Москва и обл.;1 382 958 267,00;1 422 586 170,00;-39 627 903,00;-2,79;5186
10;1;Райффайзенбанк;3292;Москва и обл.;1 292 865 252,00;1 222 474 196,00;70 391 056,00;5,76;4023
11;-1;ЮниКредит Банк;1;Москва и обл.;1 244 425 224,00;1 417 952 803,00;-173 527 579,00;-12,24;1754
12;0;Росбанк;2272;Москва и обл.;1 226 365 552,00;1 211 831 538,00;14 534 014,00;1,2;599
13;0;Совкомбанк;963;Костромская обл.;1 213 237 203,00;1 189 403 020,00;23 834 183,00;2;7944
14;0;Россия;328;Санкт-Петербург и обл.;1 012 001 526,00;1 026 998 192,00;-14 996 666,00;-1,46;37261
15;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;701 451 089,00;721 126 793,00;-19 675 704,00;-2,73;3783
16;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;660 552 595,00;660 723 139,00;-170 544,00;-0,03;51
17;2;Тинькофф Банк;2673;Москва и обл.;604 466 787,00;562 700 458,00;41 766 329,00;7,42;78638
18;-1;Ак Барс;2590;Татарстан;603 868 334,00;612 287 305,00;-8 418 971,00;-1,38;47939
19;-1;Ситибанк;2557;Москва и обл.;558 503 716,00;579 239 280,00;-20 735 564,00;-3,58;2383
20;1;Почта Банк;650;Москва и обл.;516 748 693,00;514 203 228,00;2 545 465,00;0,5;1049556
21;-1;Банк Уралсиб;30;Москва и обл.;504 469 430,00;531 386 135,00;-26 916 705,00;-5,07;89
22;0;БМ-Банк;2748;Москва и обл.;503 146 800,00;507 431 766,00;-4 284 966,00;-0,84;
23;1;Новикомбанк;2546;Москва и обл.;502 557 298,00;457 395 587,00;45 161 711,00;9,87;
24;-1;СМП Банк;3368;Москва и обл.;480 428 093,00;476 640 479,00;3 787 614,00;0,79;41296
25;0;Московский Индустриальный Банк;912;Москва и обл.;428 890 890,00;439 484 740,00;-10 593 850,00;-2,41;1115
26;0;Московский Областной Банк;1751;Москва и обл.;385 110 748,00;436 595 964,00;-51 485 216,00;-11,79;
27;2;Банк ДОМ.РФ;2312;Москва и обл.;344 502 066,00;299 968 986,00;44 533 080,00;14,85;
28;-1;Русский Стандарт;2289;Москва и обл.;338 476 154,00;328 897 384,00;9 578 770,00;2,91;586
29;-1;Пересвет;2110;Москва и обл.;325 025 614,00;325 671 854,00;-646 240,00;-0,2;
30;0;Связь-Банк;1470;Москва и обл.;302 205 136,00;291 084 487,00;11 120 649,00;3,82;2817
31;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;300 457 346,00;282 218 364,00;18 238 982,00;6,46;
32;1;Хоум Кредит Банк;316;Москва и обл.;281 852 600,00;280 215 065,00;1 637 535,00;0,58;1496
33;1;Возрождение;1439;Москва и обл.;279 574 947,00;271 299 917,00;8 275 030,00;3,05;
34;-3;Абсолют Банк;2306;Москва и обл.;264 500 328,00;286 960 736,00;-22 460 408,00;-7,83;2737
35;3;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;247 883 838,00;241 727 769,00;6 156 069,00;2,55;
36;-1;Банк Зенит;3255;Москва и обл.;243 212 828,00;256 365 625,00;-13 152 797,00;-5,13;404
37;0;Восточный Банк;1460;Амурская обл.;238 605 271,00;245 416 970,00;-6 811 699,00;-2,78;
38;1;РНКБ;1354;Симферополь;219 039 190,00;204 083 804,00;14 955 386,00;7,33;
39;3;Инвестторгбанк;2763;Москва и обл.;200 169 430,00;198 047 630,00;2 121 800,00;1,07;
40;1;МТС Банк;2268;Москва и обл.;191 358 226,00;198 830 144,00;-7 471 918,00;-3,76;4496
41;-1;Национальный Расчетный Депозитарий;3294;Москва и обл.;184 140 081,00;202 241 887,00;-18 101 806,00;-8,95;
42;-6;ИНГ Банк;2495;Москва и обл.;181 762 937,00;250 166 793,00;-68 403 856,00;-27,34;
43;0;Ренессанс Кредит;3354;Москва и обл.;177 910 509,00;176 887 718,00;1 022 791,00;0,58;
44;0;ОТП Банк;2766;Москва и обл.;169 086 310,00;174 928 613,00;-5 842 303,00;-3,34;
45;0;Экспресс-Волга;3085;Костромская обл.;167 342 682,00;172 703 554,00;-5 360 872,00;-3,1;
46;0;Транскапиталбанк;2210;Москва и обл.;164 768 930,00;165 512 713,00;-743 783,00;-0,45;
47;0;Русфинанс Банк;1792;Самарская обл.;160 428 656,00;159 522 301,00;906 355,00;0,57;
48;0;Сетелем Банк;2168;Москва и обл.;155 756 741,00;151 018 421,00;4 738 320,00;3,14;7588
49;1;Запсибкомбанк;918;Тюменская обл.;148 624 075,00;140 757 224,00;7 866 851,00;5,59;
50;1;Росэксимбанк;2790;Москва и обл.;145 642 488,00;137 305 003,00;8 337 485,00;6,07;
51;-2;Кредит Европа Банк;3311;Москва и обл.;141 938 092,00;148 133 905,00;-6 195 813,00;-4,18;
52;0;Роскосмосбанк;2989;Москва и обл.;135 515 283,00;135 277 287,00;237 996,00;0,18;
53;8;МСП Банк;3340;Москва и обл.;132 325 382,00;112 385 787,00;19 939 595,00;17,74;
54;-1;Авангард;2879;Москва и обл.;131 817 553,00;131 980 644,00;-163 091,00;-0,12;
55;3;Таврический Банк;2304;Санкт-Петербург и обл.;124 580 439,00;119 985 629,00;4 594 810,00;3,83;
56;-1;Центр-инвест;2225;Ростовская обл.;124 047 613,00;125 419 478,00;-1 371 865,00;-1,09;
57;-1;ЦентроКредит;121;Москва и обл.;123 307 299,00;122 237 858,00;1 069 441,00;0,87;
58;-1;Банк Финсервис;3388;Москва и обл.;121 141 523,00;122 006 640,00;-865 117,00;-0,71;
59;9;Дойче Банк;3328;Москва и обл.;117 581 806,00;90 643 739,00;26 938 067,00;29,72;
60;-6;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;117 374 156,00;130 516 741,00;-13 142 585,00;-10,07;
61;9;Нордеа Банк;3016;Москва и обл.;116 624 554,00;80 726 040,00;35 898 514,00;44,47;
62;-2;Локо-Банк;2707;Москва и обл.;116 231 240,00;112 865 280,00;3 365 960,00;2,98;
63;-1;Кубань Кредит;2518;Краснодарский край;113 094 105,00;111 015 211,00;2 078 894,00;1,87;
64;-1;РН Банк;170;Москва и обл.;112 333 458,00;109 482 176,00;2 851 282,00;2,6;
65;-6;Аверс;415;Татарстан;107 902 719,00;113 260 247,00;-5 357 528,00;-4,73;
66;-2;Союз;2307;Москва и обл.;105 626 156,00;107 353 063,00;-1 726 907,00;-1,61;
67;-2;Металлинвестбанк;2440;Москва и обл.;100 942 923,00;99 041 455,00;1 901 468,00;1,92;
68;-2;ВУЗ-Банк;1557;Свердловская обл.;100 375 848,00;95 335 719,00;5 040 129,00;5,29;
69;-2;СКБ-Банк;705;Свердловская обл.;90 417 580,00;93 609 471,00;-3 191 891,00;-3,41;
70;-1;Мидзухо Банк;3337;Москва и обл.;85 247 073,00;83 297 951,00;1 949 122,00;2,34;
71;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;82 148 370,00;78 363 580,00;3 784 790,00;4,83;
72;-1;Экспобанк;2998;Москва и обл.;79 033 982,00;80 192 495,00;-1 158 513,00;-1,44;
73;0;Тойота Банк;3470;Москва и обл.;77 526 203,00;77 946 654,00;-420 451,00;-0,54;
74;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;74 886 876,00;76 046 459,00;-1 159 583,00;-1,52;
75;6;Сумитомо Мицуи;3494;Москва и обл.;74 769 473,00;66 990 124,00;7 779 349,00;11,61;
76;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;74 070 180,00;75 067 008,00;-996 828,00;-1,33;
77;1;СДМ-Банк;1637;Москва и обл.;73 237 798,00;70 274 806,00;2 962 992,00;4,22;
78;1;Левобережный;1343;Новосибирская обл.;71 874 567,00;68 472 357,00;3 402 210,00;4,97;
79;-2;БКС Банк;101;Москва и обл.;71 436 009,00;70 377 960,00;1 058 049,00;1,5;
80;3;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;71 318 022,00;66 204 938,00;5 113 084,00;7,72;
81;6;ББР Банк;2929;Москва и обл.;69 100 654,00;58 541 229,00;10 559 425,00;18,04;
82;-2;Банк Интеза;2216;Москва и обл.;67 846 588,00;67 403 624,00;442 964,00;0,66;
83;-1;Примсоцбанк;2733;Приморский край;66 195 164,00;66 752 701,00;-557 537,00;-0,84;
84;17;Платежный Центр;3166;Новосибирская обл.;63 623 170,00;46 719 001,00;16 904 169,00;36,18;
85;-1;АйСиБиСи Банк;3475;Москва и обл.;59 828 774,00;66 111 659,00;-6 282 885,00;-9,5;
86;2;Севергазбанк;2816;Вологодская обл.;59 705 740,00;58 096 364,00;1 609 376,00;2,77;
87;-1;Крайинвестбанк;3360;Краснодарский край;59 643 103,00;59 909 772,00;-266 669,00;-0,45;
88;-3;Коммерцбанк (Евразия);3333;Москва и обл.;58 642 198,00;61 541 757,00;-2 899 559,00;-4,71;
89;2;Челиндбанк;485;Челябинская обл.;57 704 774,00;57 168 923,00;535 851,00;0,94;
90;0;Фора-Банк;1885;Москва и обл.;57 193 501,00;57 439 979,00;-246 478,00;-0,43;
91;8;Киви Банк;2241;Москва и обл.;56 772 938,00;48 496 906,00;8 276 032,00;17,07;3159173
92;1;Челябинвестбанк;493;Челябинская обл.;56 211 618,00;55 569 599,00;642 019,00;1,16;
93;-1;Росгосстрах Банк;3073;Москва и обл.;53 887 179,00;56 526 943,00;-2 639 764,00;-4,67;
94;1;Генбанк;2490;Симферополь;52 827 633,00;51 882 415,00;945 218,00;1,82;
95;-6;Энерготрансбанк;1307;Калининградская обл.;49 995 441,00;57 639 145,00;-7 643 704,00;-13,26;
96;1;Газэнергобанк;3252;Калужская обл.;49 676 651,00;49 261 868,00;414 783,00;0,84;
97;3;Саровбизнесбанк;2048;Нижегородская обл.;48 491 970,00;47 592 726,00;899 244,00;1,89;
98;-2;СЭБ Банк;3235;Санкт-Петербург и обл.;48 341 663,00;49 813 498,00;-1 471 835,00;-2,95;
99;4;Аресбанк;2914;Москва и обл.;47 601 684,00;44 671 828,00;2 929 856,00;6,56;
100;5;Фольксваген Банк Рус;3500;Москва и обл.;47 192 867,00;43 897 284,00;3 295 583,00;7,51;
101;-3;Международный Финансовый Клуб;2618;Москва и обл.;46 842 838,00;48 500 542,00;-1 657 704,00;-3,42;
102;0;БМВ Банк;3482;Москва и обл.;45 712 230,00;46 370 480,00;-658 250,00;-1,42;
103;1;Мир Бизнес Банк;3396;Москва и обл.;45 211 592,00;44 155 428,00;1 056 164,00;2,39;
104;-10;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;45 196 531,00;52 595 345,00;-7 398 814,00;-14,07;
105;1;Солидарность;554;Самарская обл.;44 380 745,00;43 557 065,00;823 680,00;1,89;
106;5;Бэнк оф Чайна;2309;Москва и обл.;43 046 903,00;40 634 473,00;2 412 430,00;5,94;
107;0;БНП Париба Банк;3407;Москва и обл.;42 715 509,00;43 101 408,00;-385 899,00;-0,9;
108;0;Объединенный Капитал;2611;Санкт-Петербург и обл.;42 005 276,00;41 678 133,00;327 143,00;0,78;
109;0;Кольцо Урала;65;Свердловская обл.;40 308 880,00;41 348 498,00;-1 039 618,00;-2,51;
110;2;БыстроБанк;1745;Удмуртия;39 750 537,00;39 625 024,00;125 513,00;0,32;
111;3;Дальневосточный Банк;843;Приморский край;38 858 773,00;37 831 835,00;1 026 938,00;2,71;
112;-2;Дж. П. Морган Банк;2629;Москва и обл.;36 878 973,00;41 116 183,00;-4 237 210,00;-10,31;
113;0;Интерпрогрессбанк;600;Москва и обл.;36 818 402,00;37 958 520,00;-1 140 118,00;-3;
114;1;Приморье;3001;Приморский край;35 809 450,00;35 310 168,00;499 282,00;1,41;
115;2;Держава;2738;Москва и обл.;35 211 010,00;34 415 616,00;795 394,00;2,31;
116;0;Кредит Урал Банк;2584;Челябинская обл.;34 417 757,00;34 540 973,00;-123 216,00;-0,36;
117;1;Плюс Банк;1189;Москва и обл.;34 216 691,00;33 048 876,00;1 167 815,00;3,53;
118;5;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;32 896 783,00;27 851 717,00;5 045 066,00;18,11;
119;1;НС Банк;3124;Москва и обл.;32 751 728,00;31 014 816,00;1 736 912,00;5,6;
120;1;Алмазэргиэнбанк;2602;Саха (Якутия);32 736 363,00;30 724 079,00;2 012 284,00;6,55;
121;-2;Национальный Стандарт;3421;Москва и обл.;32 282 369,00;31 458 762,00;823 607,00;2,62;
122;14;ЦМРБанк;3531;Москва и обл.;30 120 617,00;23 666 376,00;6 454 241,00;27,27;
123;-1;МС Банк Рус;2789;Москва и обл.;29 914 352,00;30 083 927,00;-169 575,00;-0,56;
124;0;Натиксис Банк;3390;Москва и обл.;29 522 019,00;27 292 593,00;2 229 426,00;8,17;
125;13;Чайна Констракшн;3515;Москва и обл.;28 222 479,00;22 148 876,00;6 073 603,00;27,42;
126;9;Голдман Сакс Банк;3490;Москва и обл.;28 034 183,00;23 844 798,00;4 189 385,00;17,57;
127;1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;27 632 139,00;25 671 000,00;1 961 139,00;7,64;
128;-2;Урал ФД;249;Пермская обл.;27 430 543,00;25 985 520,00;1 445 023,00;5,56;
129;0;Интерпромбанк;3266;Москва и обл.;27 340 522,00;25 530 149,00;1 810 373,00;7,09;
130;-5;Курскпромбанк;735;Курская обл.;27 321 001,00;26 684 402,00;636 599,00;2,39;
131;-4;Акибанк;2587;Татарстан;25 785 362,00;25 746 287,00;39 075,00;0,15;
132;-2;Экономбанк;1319;Саратовская обл.;25 773 970,00;25 194 505,00;579 465,00;2,3;
133;-2;Хлынов;254;Кировская обл.;25 612 584,00;25 184 171,00;428 413,00;1,7;
134;0;Энергобанк;67;Татарстан;24 144 422,00;23 974 681,00;169 741,00;0,71;
135;-2;Ланта-Банк;1920;Москва и обл.;23 927 746,00;24 608 623,00;-680 877,00;-2,77;
136;10;Тольяттихимбанк;2507;Самарская обл.;23 832 493,00;19 519 884,00;4 312 609,00;22,09;
137;0;Москоммерцбанк;3365;Москва и обл.;23 033 098,00;22 926 790,00;106 308,00;0,46;
138;4;Модульбанк;1927;Костромская обл.;22 564 981,00;20 483 714,00;2 081 267,00;10,16;
139;2;Акцепт;567;Новосибирская обл.;22 502 424,00;21 021 278,00;1 481 146,00;7,05;
140;-1;Джей энд Ти Банк;3061;Москва и обл.;22 154 695,00;21 549 440,00;605 255,00;2,81;
141;-1;НБД-Банк;1966;Нижегородская обл.;22 084 391,00;21 110 910,00;973 481,00;4,61;
142;10;Московское Ипотечное Агентство;3344;Москва и обл.;21 554 113,00;18 046 277,00;3 507 836,00;19,44;
143;-67;Банк Кредит Свисс;2494;Москва и обл.;21 189 422,00;74 883 734,00;-53 694 312,00;-71,7;
144;-1;Татсоцбанк;480;Татарстан;20 951 006,00;20 328 897,00;622 109,00;3,06;
145;-1;Ури Банк;3479;Москва и обл.;20 715 342,00;20 262 281,00;453 061,00;2,24;
146;4;Инбанк;1829;Москва и обл.;20 364 204,00;18 616 169,00;1 748 035,00;9,39;
147;-2;Пойдем!;2534;Москва и обл.;20 218 239,00;20 228 154,00;-9 915,00;-0,05;
148;-16;Кошелев-Банк;3300;Самарская обл.;19 768 650,00;24 817 452,00;-5 048 802,00;-20,34;
149;2;Росдорбанк;1573;Москва и обл.;19 739 697,00;18 354 683,00;1 385 014,00;7,55;
150;-2;Агропромкредит;2880;Москва и обл.;19 659 100,00;19 176 841,00;482 259,00;2,51;
151;13;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;19 452 565,00;14 937 263,00;4 515 302,00;30,23;
152;-3;Александровский;53;Санкт-Петербург и обл.;19 393 557,00;18 726 989,00;666 568,00;3,56;
153;-6;Денизбанк Москва;3330;Москва и обл.;18 694 406,00;19 402 441,00;-708 035,00;-3,65;
154;-1;Прио-Внешторгбанк;212;Рязанская обл.;17 848 491,00;17 792 389,00;56 102,00;0,32;
155;-1;Алеф-Банк;2119;Москва и обл.;17 409 770,00;17 307 034,00;102 736,00;0,59;
156;-1;Ишбанк;2867;Москва и обл.;17 283 841,00;17 097 639,00;186 202,00;1,09;
157;10;РЕСО Кредит;3450;Москва и обл.;16 808 269,00;14 369 846,00;2 438 423,00;16,97;
158;-2;Морской Банк;77;Москва и обл.;16 786 135,00;16 530 138,00;255 997,00;1,55;
159;17;Эс-Би-Ай Банк;3185;Москва и обл.;16 546 845,00;12 931 173,00;3 615 672,00;27,96;
160;-1;Норвик Банк;902;Кировская обл.;16 218 534,00;16 116 503,00;102 031,00;0,63;
161;-3;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;16 130 500,00;16 177 031,00;-46 531,00;-0,29;
162;-5;Форштадт;2208;Оренбургская обл.;16 029 000,00;16 273 390,00;-244 390,00;-1,5;
163;-3;Развитие-Столица;3013;Москва и обл.;15 937 556,00;16 065 702,00;-128 146,00;-0,8;
164;-1;НК Банк;2755;Москва и обл.;14 953 685,00;15 302 566,00;-348 881,00;-2,28;
165;0;Финанс Бизнес Банк;520;Москва и обл.;14 598 936,00;14 561 114,00;37 822,00;0,26;
166;0;Чайнасельхозбанк;3529;Москва и обл.;14 072 946,00;14 395 208,00;-322 262,00;-2,24;
167;2;Гарант-Инвест;2576;Москва и обл.;13 884 652,00;13 678 866,00;205 786,00;1,5;
168;0;Банк Казани;708;Татарстан;13 881 443,00;14 112 499,00;-231 056,00;-1,64;
169;10;Оренбург;3269;Оренбургская обл.;13 714 830,00;12 547 901,00;1 166 929,00;9,3;
170;2;КС Банк;1752;Мордовия;13 340 926,00;13 128 959,00;211 967,00;1,61;
171;2;БайкалИнвестБанк;1067;Москва и обл.;13 161 506,00;13 083 658,00;77 848,00;0,6;
172;-1;Руснарбанк;3403;Москва и обл.;13 130 908,00;13 228 137,00;-97 229,00;-0,74;
173;5;НИКО-Банк;702;Оренбургская обл.;12 977 982,00;12 755 432,00;222 550,00;1,74;
174;3;Промтрансбанк;2638;Башкортостан;12 874 734,00;12 871 759,00;2 975,00;0,02;
175;7;Датабанк;646;Удмуртия;12 842 503,00;12 228 118,00;614 385,00;5,02;
176;-1;Национальный Резервный Банк;2170;Москва и обл.;12 672 883,00;12 949 002,00;-276 119,00;-2,13;
177;-16;Яндекс.Деньги;3510;Россия;12 604 179,00;15 584 236,00;-2 980 057,00;-19,12;
178;-16;Национальная Факторинговая Компания;3437;Москва и обл.;12 439 637,00;15 425 072,00;-2 985 435,00;-19,35;
179;1;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 366 315,00;12 507 804,00;-141 489,00;-1,13;
180;-6;Собинбанк;1317;Москва и обл.;12 302 569,00;13 063 371,00;-760 802,00;-5,82;
181;4;ТЭМБР-Банк;2764;Москва и обл.;12 249 861,00;11 879 353,00;370 508,00;3,12;
182;-1;Консервативный Коммерческий Банк;1087;Астраханская обл.;12 210 517,00;12 470 892,00;-260 375,00;-2,09;
183;1;Юг-Инвестбанк;2772;Краснодарский край;12 108 645,00;11 917 210,00;191 435,00;1,61;
184;-1;Снежинский;1376;Челябинская обл.;12 046 249,00;11 997 642,00;48 607,00;0,41;
185;1;Нацинвестпромбанк;3077;Москва и обл.;12 042 474,00;11 715 466,00;327 008,00;2,79;
186;-16;Инкахран;3454;Москва и обл.;11 774 400,00;13 621 917,00;-1 847 517,00;-13,56;
187;0;Актив Банк;2529;Мордовия;11 454 526,00;11 447 808,00;6 718,00;0,06;
188;6;Энергомашбанк;52;Санкт-Петербург и обл.;11 359 553,00;10 430 715,00;928 838,00;8,9;
189;6;Екатеринбург;3161;Свердловская обл.;11 048 203,00;10 378 823,00;669 380,00;6,45;
190;-2;Банк Раунд;2506;Москва и обл.;10 996 055,00;10 890 141,00;105 914,00;0,97;
191;-1;Итуруп;2390;Сахалинская обл.;10 943 244,00;10 751 443,00;191 801,00;1,78;
192;1;Банк Жилищного Финансирования;3138;Москва и обл.;10 768 894,00;10 576 838,00;192 056,00;1,82;
193;-1;Русьуниверсалбанк;3293;Москва и обл.;10 593 888,00;10 628 559,00;-34 671,00;-0,33;
194;-3;Банк БКФ;2684;Москва и обл.;10 463 082,00;10 650 479,00;-187 397,00;-1,76;
195;2;Солид Банк;1329;Приморский край;10 300 348,00;9 820 368,00;479 980,00;4,89;
196;-7;МБА-Москва;3395;Москва и обл.;10 291 334,00;10 752 434,00;-461 100,00;-4,29;
197;2;Углеметбанк;2997;Челябинская обл.;9 434 841,00;9 010 319,00;424 522,00;4,71;
198;0;Автоторгбанк;2776;Москва и обл.;9 243 386,00;9 361 238,00;-117 852,00;-1,26;
199;1;Томскпромстройбанк;1720;Томская обл.;9 080 149,00;8 999 965,00;80 184,00;0,89;
200;1;Зираат Банк;2559;Москва и обл.;9 023 230,00;8 795 102,00;228 128,00;2,59;
201;1;Хакасский Муниципальный Банк;1049;Хакасия;8 645 034,00;8 713 623,00;-68 589,00;-0,79;
202;7;Ставропольпромстройбанк;1288;Ставропольский край;8 587 809,00;7 577 666,00;1 010 143,00;13,33;
203;1;Нейва;1293;Свердловская обл.;8 517 405,00;8 383 760,00;133 645,00;1,59;
204;3;Белгородсоцбанк;760;Белгородская обл.;8 218 859,00;7 702 468,00;516 391,00;6,7;
205;0;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 108 432,00;8 144 284,00;-35 852,00;-0,44;
206;2;Трансстройбанк;2807;Москва и обл.;7 977 312,00;7 702 212,00;275 100,00;3,57;
207;3;Северный Народный Банк;2721;Коми;7 957 783,00;7 476 150,00;481 633,00;6,44;
208;4;Сибсоцбанк;2015;Алтайский край;7 895 343,00;7 237 033,00;658 310,00;9,1;
209;4;Сити Инвест Банк;3194;Санкт-Петербург и обл.;7 893 869,00;7 211 992,00;681 877,00;9,45;
210;1;Новобанк;1352;Новгородская обл.;7 691 201,00;7 369 476,00;321 725,00;4,37;
