employer_name;employer_id2;employer_type;employer_id;Позиция в рейтинге;Изменение позиции в рейтинге;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
Морган Стэнли Банк;;bank;;211;-15;3456;Москва и обл.;7 376 641,00;10 252 235,00;-2 875 594,00;-28,05
Нефтепромбанк;;bank;;212;6;2156;Москва и обл.;7 337 365,00;6 814 162,00;523 203,00;7,68
Гута-Банк;;bank;;213;9;256;Москва и обл.;7 201 101,00;6 594 058,00;607 043,00;9,21
Финам Банк;;bank;;214;7;2799;Москва и обл.;7 170 582,00;6 651 390,00;519 192,00;7,81
Горбанк;;bank;;215;13;2982;Санкт-Петербург и обл.;7 156 318,00;6 046 095,00;1 110 223,00;18,36
Славия;;bank;;216;8;2664;Москва и обл.;7 040 433,00;6 433 440,00;606 993,00;9,43
Агророс;;bank;;217;-1;2860;Саратовская обл.;7 022 137,00;6 904 243,00;117 894,00;1,71
Ростфинанс;;bank;;218;-12;481;Ростовская обл.;7 017 955,00;7 986 170,00;-968 215,00;-12,12
Банк Оранжевый;;bank;;219;-2;1659;Санкт-Петербург и обл.;7 006 406,00;6 881 774,00;124 632,00;1,81
Кузнецкий;;bank;;220;0;609;Пензенская обл.;6 989 559,00;6 674 392,00;315 167,00;4,72
Енисейский Объединенный Банк;;bank;;221;5;2645;Красноярский край;6 982 764,00;6 360 696,00;622 068,00;9,78
Черноморский банк развития и реконструкции;;bank;;222;-7;3527;Симферополь;6 934 691,00;6 946 457,00;-11 766,00;-0,17
Азия-Инвест Банк;;bank;;223;14;3303;Москва и обл.;6 920 843,00;5 299 087,00;1 621 756,00;30,6
Автоградбанк;;bank;;224;-1;1455;Татарстан;6 817 594,00;6 532 693,00;284 901,00;4,36
ФорБанк;;bank;;225;-6;2063;Москва и обл.;6 752 257,00;6 744 088,00;8 169,00;0,12
Земский Банк;;bank;;226;-1;2900;Самарская обл.;6 507 657,00;6 378 283,00;129 374,00;2,03
Венец;;bank;;227;0;524;Ульяновская обл.;6 202 310,00;6 305 915,00;-103 605,00;-1,64
Газтрансбанк;;bank;;228;3;665;Краснодарский край;6 100 686,00;5 768 706,00;331 980,00;5,75
Альба Альянс;;bank;;229;7;2593;Москва и обл.;6 027 079,00;5 349 548,00;677 531,00;12,67
Москва-Сити;;bank;;230;5;3247;Москва и обл.;6 013 712,00;5 359 350,00;654 362,00;12,21
Ю Би Эс Банк;;bank;;231;-17;3463;Москва и обл.;5 899 049,00;7 033 674,00;-1 134 625,00;-16,13
Платина;;bank;;232;18;2347;Москва и обл.;5 861 889,00;4 348 900,00;1 512 989,00;34,79
Индустриальный Сберегательный Банк;;bank;;233;-1;3175;Москва и обл.;5 658 164,00;5 741 527,00;-83 363,00;-1,45
Кубаньторгбанк;;bank;;234;-1;478;Краснодарский край;5 584 495,00;5 621 816,00;-37 321,00;-0,66
Стройлесбанк;;bank;;235;6;2995;Тюменская обл.;5 580 521,00;5 107 532,00;472 989,00;9,26
Зенит Сочи;;bank;;236;-2;232;Краснодарский край;5 497 204,00;5 419 737,00;77 467,00;1,43
Русь;;bank;;237;-7;704;Оренбургская обл.;5 470 836,00;5 777 239,00;-306 403,00;-5,3
Проминвестбанк;;bank;;238;-9;2433;Москва и обл.;5 426 988,00;5 840 250,00;-413 262,00;-7,08
Роял Кредит Банк;;bank;;239;1;783;Приморский край;5 381 572,00;5 210 201,00;171 371,00;3,29
Бест Эффортс Банк;;bank;;240;21;435;Москва и обл.;5 258 056,00;3 988 361,00;1 269 695,00;31,84
Банк «Фридом Финанс»;;bank;;241;17;1143;Москва и обл.;5 142 962,00;4 076 140,00;1 066 822,00;26,17
Муниципальный Камчатпрофитбанк;;bank;;242;-4;2103;Камчатская обл.;5 106 249,00;5 267 380,00;-161 131,00;-3,06
СИАБ;;bank;;243;-4;3245;Санкт-Петербург и обл.;5 043 984,00;5 256 136,00;-212 152,00;-4,04
Долинск;;bank;;244;7;857;Сахалинская обл.;4 963 231,00;4 320 634,00;642 597,00;14,87
Заубер Банк;;bank;;245;-3;1614;Санкт-Петербург и обл.;4 875 536,00;4 927 448,00;-51 912,00;-1,05
НОКССбанк;;bank;;246;-1;3202;Волгоградская обл.;4 841 260,00;4 555 025,00;286 235,00;6,28
Крокус-Банк;;bank;;247;1;2682;Москва и обл.;4 797 645,00;4 375 669,00;421 976,00;9,64
Севастопольский Морской Банк;;bank;;248;-2;3528;Севастополь;4 509 491,00;4 543 786,00;-34 295,00;-0,75
ВРБ;;bank;;249;64;3499;Москва и обл.;4 473 552,00;2 304 035,00;2 169 517,00;94,16
Мегаполис;;bank;;250;3;3265;Чувашия;4 452 898,00;4 177 299,00;275 599,00;6,6
Московский Коммерческий Банк;;bank;;251;3;3172;Москва и обл.;4 450 458,00;4 153 689,00;296 769,00;7,14
Веста;;bank;;252;4;2368;Москва и обл.;4 383 297,00;4 107 311,00;275 986,00;6,72
Братский АНКБ;;bank;;253;2;1144;Иркутская обл.;4 341 391,00;4 123 823,00;217 568,00;5,28
Камский Коммерческий Банк;;bank;;254;-5;438;Татарстан;4 320 875,00;4 354 386,00;-33 511,00;-0,77
Кремлевский;;bank;;255;-3;2905;Москва и обл.;4 316 351,00;4 223 049,00;93 302,00;2,21
Мобильная карта;;bank;;256;59;3522;Санкт-Петербург и обл.;4 296 611,00;2 243 069,00;2 053 542,00;91,55
Донкомбанк;;bank;;257;0;492;Ростовская обл.;4 246 692,00;4 087 056,00;159 636,00;3,91
Алтайкапиталбанк;;bank;;258;4;2659;Алтайский край;4 196 027,00;3 956 394,00;239 633,00;6,06
Икано Банк;;bank;;259;-16;3519;Москва и обл.;4 195 355,00;4 868 242,00;-672 887,00;-13,82
Славянский Кредит;;bank;;260;4;2960;Москва и обл.;4 131 541,00;3 875 454,00;256 087,00;6,61
Вологжанин;;bank;;261;-1;1896;Вологодская обл.;4 047 777,00;4 017 606,00;30 171,00;0,75
Нэклис-Банк;;bank;;262;-15;1671;Москва и обл.;4 039 375,00;4 525 571,00;-486 196,00;-10,74
ЮМК;;bank;;263;-4;3495;Краснодарский край;3 992 617,00;4 067 747,00;-75 130,00;-1,85
ПэйПал Ру;;bank;;264;-1;3517;Москва и обл.;3 988 777,00;3 931 145,00;57 632,00;1,47
Объединенный Резервный Банк;;bank;;265;3;937;Москва и обл.;3 972 378,00;3 638 913,00;333 465,00;9,16
Владбизнесбанк;;bank;;266;4;903;Владимирская обл.;3 906 459,00;3 583 672,00;322 787,00;9,01
Народный Банк;;bank;;267;14;2249;Москва и обл.;3 819 229,00;3 121 435,00;697 794,00;22,35
Современные Стандарты Бизнеса;;bank;;268;-2;3397;Москва и обл.;3 726 835,00;3 672 528,00;54 307,00;1,48
Далена Банк;;bank;;269;9;1948;Москва и обл.;3 701 159,00;3 274 414,00;426 745,00;13,03
Санкт-Петербургский Банк Инвестиций;;bank;;270;-3;3468;Санкт-Петербург и обл.;3 631 371,00;3 666 623,00;-35 252,00;-0,96
Уралпромбанк;;bank;;271;-2;2964;Челябинская обл.;3 619 198,00;3 598 734,00;20 464,00;0,57
Элита;;bank;;272;5;1399;Калужская обл.;3 531 179,00;3 302 592,00;228 587,00;6,92
Банк Реалист;;bank;;273;-8;2646;Москва и обл.;3 527 004,00;3 832 767,00;-305 763,00;-7,98
Коммерческий Индо Банк;;bank;;274;-3;3446;Москва и обл.;3 450 738,00;3 520 932,00;-70 194,00;-1,99
Уралфинанс;;bank;;275;-1;1370;Свердловская обл.;3 280 522,00;3 357 608,00;-77 086,00;-2,3
Новый Век;;bank;;276;15;3417;Москва и обл.;3 277 038,00;2 960 321,00;316 717,00;10,7
Живаго Банк;;bank;;277;3;2065;Рязанская обл.;3 232 569,00;3 141 702,00;90 867,00;2,89
Юнистрим;;bank;;278;26;3467;Москва и обл.;3 229 020,00;2 561 664,00;667 356,00;26,05
Первоуральскбанк;;bank;;279;-3;965;Свердловская обл.;3 219 319,00;3 310 629,00;-91 310,00;-2,76
Вестерн Юнион ДП Восток;;bank;;280;-7;2726;Москва и обл.;3 218 674,00;3 437 465,00;-218 791,00;-6,36
Первый Клиентский Банк;;bank;;281;-6;3436;Москва и обл.;3 215 423,00;3 353 251,00;-137 828,00;-4,11
Унифондбанк;;bank;;282;10;3416;Москва и обл.;3 129 180,00;2 938 070,00;191 110,00;6,5
Банк ПСА Финанс Рус;;bank;;283;-1;3481;Москва и обл.;3 111 039,00;3 117 776,00;-6 737,00;-0,22
Расчетные Решения;;bank;;284;25;3524;Москва и обл.;3 096 665,00;2 397 001,00;699 664,00;29,19
БСТ-Банк;;bank;;285;3;2883;Кемеровская обл.;3 092 127,00;3 023 000,00;69 127,00;2,29
Оргбанк;;bank;;286;-14;3312;Москва и обл.;3 088 982,00;3 455 486,00;-366 504,00;-10,61
Кетовский Коммерческий Банк;;bank;;287;-1;842;Курганская обл.;3 087 143,00;3 039 980,00;47 163,00;1,55
Профессионал Банк;;bank;;288;-3;3296;Москва и обл.;3 044 600,00;3 071 636,00;-27 036,00;-0,88
Тамбовкредитпромбанк;;bank;;289;7;1312;Тамбовская обл.;3 024 536,00;2 764 953,00;259 583,00;9,39
Евразийский Банк;;bank;;290;-6;969;Москва и обл.;2 996 870,00;3 080 238,00;-83 368,00;-2,71
Московский Нефтехимический Банк;;bank;;291;-47;1411;Москва и обл.;2 979 493,00;4 669 705,00;-1 690 212,00;-36,2
Синко-Банк;;bank;;292;-9;2838;Москва и обл.;2 976 376,00;3 088 145,00;-111 769,00;-3,62
Тендер-Банк;;bank;;293;0;2252;Москва и обл.;2 973 122,00;2 918 621,00;54 501,00;1,87
Заречье;;bank;;294;-15;817;Татарстан;2 970 154,00;3 155 351,00;-185 197,00;-5,87
ИРС;;bank;;295;56;272;Москва и обл.;2 846 546,00;1 484 592,00;1 361 954,00;91,74
Внешфинбанк;;bank;;296;-7;3173;Краснодарский край;2 839 864,00;3 006 647,00;-166 783,00;-5,55
Экси-Банк;;bank;;297;4;2530;Санкт-Петербург и обл.;2 806 325,00;2 663 414,00;142 911,00;5,37
ИТ Банк;;bank;;298;2;2609;Омская обл.;2 748 957,00;2 663 695,00;85 262,00;3,2
Ермак;;bank;;299;-12;1809;Ханты-Мансийский АО — Югра;2 717 694,00;3 037 994,00;-320 300,00;-10,54
Оней Банк;;bank;;300;-5;3516;Москва и обл.;2 676 382,00;2 785 140,00;-108 758,00;-3,9
Газнефтьбанк;;bank;;301;-3;3223;Саратовская обл.;2 673 550,00;2 685 708,00;-12 158,00;-0,45
Яринтербанк;;bank;;302;-5;2564;Ярославская обл.;2 666 958,00;2 717 009,00;-50 051,00;-1,84
Витабанк;;bank;;303;7;356;Санкт-Петербург и обл.;2 664 323,00;2 348 509,00;315 814,00;13,45
Евроальянс;;bank;;304;-5;1781;Ивановская обл.;2 617 471,00;2 677 496,00;-60 025,00;-2,24
Америкэн Экспресс Банк;;bank;;305;-15;3460;Москва и обл.;2 615 165,00;2 995 875,00;-380 710,00;-12,71
Система;;bank;;306;-12;2846;Москва и обл.;2 607 438,00;2 793 244,00;-185 806,00;-6,65
Международный Коммерческий Банк;;bank;;307;-4;2524;Москва и обл.;2 590 528,00;2 579 273,00;11 255,00;0,44
Социум-Банк;;bank;;308;-6;2881;Москва и обл.;2 543 121,00;2 631 488,00;-88 367,00;-3,36
Первый Инвестиционный Банк;;bank;;309;8;604;Москва и обл.;2 500 273,00;2 212 430,00;287 843,00;13,01
Банк Глобус;;bank;;310;-4;2438;Москва и обл.;2 459 529,00;2 452 624,00;6 905,00;0,28
Йошкар-Ола;;bank;;311;-4;2802;Марий Эл;2 423 951,00;2 446 902,00;-22 951,00;-0,94
РБА;;bank;;312;-4;3413;Москва и обл.;2 422 669,00;2 410 628,00;12 041,00;0,5
Первый Дортрансбанк;;bank;;313;-2;3271;Кировская обл.;2 344 298,00;2 344 277,00;21;0
Костромаселькомбанк;;bank;;314;0;1115;Костромская обл.;2 336 526,00;2 286 877,00;49 649,00;2,17
Пермь;;bank;;315;6;875;Пермская обл.;2 297 773,00;2 186 792,00;110 981,00;5,08
Вкабанк;;bank;;316;3;1027;Астраханская обл.;2 293 283,00;2 198 400,00;94 883,00;4,32
Великие Луки Банк;;bank;;317;-1;598;Псковская обл.;2 275 777,00;2 224 416,00;51 361,00;2,31
Россита-Банк;;bank;;318;2;3257;Москва и обл.;2 212 851,00;2 189 097,00;23 754,00;1,09
ИК Банк;;bank;;319;9;1732;Татарстан;2 197 018,00;1 998 542,00;198 476,00;9,93
Приобье;;bank;;320;-2;537;Ханты-Мансийский АО — Югра;2 196 810,00;2 208 955,00;-12 145,00;-0,55
Народный Доверительный Банк;;bank;;321;3;2374;Москва и обл.;2 190 333,00;2 137 192,00;53 141,00;2,49
Арзамас;;bank;;322;0;1281;Нижегородская обл.;2 178 759,00;2 159 015,00;19 744,00;0,91
РФИ Банк;;bank;;323;6;3351;Москва и обл.;2 172 182,00;1 843 101,00;329 081,00;17,85
Викинг;;bank;;324;1;2;Санкт-Петербург и обл.;2 159 721,00;2 110 463,00;49 258,00;2,33
Элекснет;;bank;;325;22;3314;Москва и обл.;2 153 120,00;1 523 577,00;629 543,00;41,32
Капитал;;bank;;326;-3;575;Москва и обл.;2 135 049,00;2 146 397,00;-11 348,00;-0,53
Сервис Резерв;;bank;;327;31;2034;Москва и обл.;2 026 680,00;1 415 913,00;610 767,00;43,14
Саратов;;bank;;328;-2;330;Саратовская обл.;1 980 807,00;2 061 089,00;-80 282,00;-3,9
Кросна-Банк;;bank;;329;-2;2607;Москва и обл.;1 976 733,00;2 026 835,00;-50 102,00;-2,47
Новый Московский Банк;;bank;;330;-25;2932;Москва и обл.;1 882 430,00;2 503 791,00;-621 361,00;-24,82
Майкопбанк;;bank;;331;-1;1136;Адыгея;1 866 184,00;1 836 092,00;30 092,00;1,64
Ноосфера;;bank;;332;13;2650;Республика Алтай;1 805 149,00;1 555 790,00;249 359,00;16,03
Алтынбанк;;bank;;333;6;2070;Татарстан;1 772 060,00;1 673 593,00;98 467,00;5,88
Дом-Банк;;bank;;334;6;3209;Москва и обл.;1 767 798,00;1 661 547,00;106 251,00;6,39
Тексбанк;;bank;;335;2;2756;Карачаево-Черкесия;1 765 279,00;1 691 805,00;73 474,00;4,34
Калуга;;bank;;336;-2;1151;Калужская обл.;1 762 898,00;1 778 950,00;-16 052,00;-0,9
Спутник;;bank;;337;6;1071;Самарская обл.;1 748 009,00;1 608 986,00;139 023,00;8,64
АвтоКредитБанк;;bank;;338;-2;1973;Татарстан;1 700 285,00;1 707 093,00;-6 808,00;-0,4
Проинвестбанк;;bank;;339;9;784;Пермская обл.;1 684 644,00;1 518 380,00;166 264,00;10,95
Промсельхозбанк;;bank;;340;1;538;Москва и обл.;1 676 980,00;1 637 205,00;39 775,00;2,43
Кузбассхимбанк;;bank;;341;1;2868;Кемеровская обл.;1 635 265,00;1 621 017,00;14 248,00;0,88
Новокиб;;bank;;342;8;1747;Кемеровская обл.;1 612 271,00;1 486 352,00;125 919,00;8,47
Евроазиатский Инвестиционный Банк;;bank;;343;-5;2897;Москва и обл.;1 610 857,00;1 681 910,00;-71 053,00;-4,22
Вакобанк;;bank;;344;13;1291;Псковская обл.;1 570 561,00;1 418 551,00;152 010,00;10,72
Столичный Кредит;;bank;;345;22;2853;Москва и обл.;1 567 589,00;1 302 452,00;265 137,00;20,36
Республиканский Кредитный Альянс;;bank;;346;20;3017;Москва и обл.;1 555 909,00;1 328 630,00;227 279,00;17,11
Промышленно-Финансовое Сотрудничество;;bank;;347;-1;2410;Москва и обл.;1 553 218,00;1 534 933,00;18 285,00;1,19
Росбизнесбанк;;bank;;348;8;1405;Москва и обл.;1 522 157,00;1 420 246,00;101 911,00;7,18
Сельмашбанк;;bank;;349;-14;106;Ростовская обл.;1 515 025,00;1 735 676,00;-220 651,00;-12,71
Акрополь;;bank;;350;-1;3027;Москва и обл.;1 512 371,00;1 510 180,00;2 191,00;0,15
Банк РМП;;bank;;351;-19;2574;Москва и обл.;1 500 586,00;1 800 309,00;-299 723,00;-16,65
Мурманский Расчетный Центр;;bank;;352;-8;3341;Мурманская обл.;1 491 411,00;1 568 414,00;-77 003,00;-4,91
Крона-Банк;;bank;;353;-1;2499;Иркутская обл.;1 485 804,00;1 451 604,00;34 200,00;2,36
Торжок (бывш. Торжокуниверсалбанк);;bank;;354;7;933;Тверская обл.;1 426 077,00;1 382 678,00;43 399,00;3,14
Примтеркомбанк;;bank;;355;8;21;Приморский край;1 401 071,00;1 364 316,00;36 755,00;2,69
Прохладный;;bank;;356;4;874;Кабардино-Балкария;1 388 979,00;1 386 937,00;2 042,00;0,15
Почтобанк;;bank;;357;2;1788;Пермская обл.;1 368 034,00;1 402 633,00;-34 599,00;-2,47
Кузнецкий Мост;;bank;;358;-3;2254;Москва и обл.;1 319 013,00;1 423 720,00;-104 707,00;-7,35
Курган;;bank;;359;3;2568;Курганская обл.;1 311 126,00;1 369 210,00;-58 084,00;-4,24
Руна-Банк;;bank;;360;4;3207;Москва и обл.;1 286 918,00;1 341 299,00;-54 381,00;-4,05
Банк Агора;;bank;;361;18;3231;Москва и обл.;1 286 872,00;1 062 367,00;224 505,00;21,13
Р-Инкас;;bank;;362;-9;3536;Москва и обл.;1 262 071,00;1 444 333,00;-182 262,00;-12,62
Апабанк;;bank;;363;9;2404;Москва и обл.;1 235 252,00;1 211 929,00;23 323,00;1,92
МТИ Банк;;bank;;364;-33;1052;Москва и обл.;1 227 100,00;1 830 593,00;-603 493,00;-32,97
Майский;;bank;;365;3;1673;Кабардино-Балкария;1 220 640,00;1 264 767,00;-44 127,00;-3,49
Нальчик;;bank;;366;4;695;Кабардино-Балкария;1 216 983,00;1 246 087,00;-29 104,00;-2,34
Финчер;;bank;;367;16;3486;Москва и обл.;1 216 240,00;995 652,00;220 588,00;22,16
Севзапинвестпромбанк;;bank;;368;3;2152;Санкт-Петербург и обл.;1 197 790,00;1 238 491,00;-40 701,00;-3,29
Саммит Банк;;bank;;369;5;85;Приморский край;1 183 743,00;1 138 127,00;45 616,00;4,01
Спецстройбанк;;bank;;370;5;236;Москва и обл.;1 171 679,00;1 134 326,00;37 353,00;3,29
Невастройинвест;;bank;;371;2;1926;Санкт-Петербург и обл.;1 153 399,00;1 157 745,00;-4 346,00;-0,38
Земкомбанк;;bank;;372;-39;574;Ростовская обл.;1 141 878,00;1 781 033,00;-639 155,00;-35,89
Байкалкредобанк;;bank;;373;4;2990;Иркутская обл.;1 127 846,00;1 109 051,00;18 795,00;1,69
Русский Банк Сбережений;;bank;;374;-5;779;Ставропольский край;1 105 753,00;1 252 238,00;-146 485,00;-11,7
ЕАТП Банк;;bank;;375;3;1765;Астраханская обл.;1 105 278,00;1 074 712,00;30 566,00;2,84
Межбанковский Кредитный Союз;;bank;;376;-22;3242;Москва и обл.;1 079 396,00;1 425 627,00;-346 231,00;-24,29
Онего;;bank;;377;-12;2484;Карелия;1 078 048,00;1 332 186,00;-254 138,00;-19,08
Спиритбанк;;bank;;378;2;2053;Тульская обл.;1 057 863,00;1 046 663,00;11 200,00;1,07
Электронный платежный сервис;;bank;;379;14;3509;Москва и обл.;1 042 961,00;829 375,00;213 586,00;25,75
Дон-Тексбанк;;bank;;380;-4;1818;Ростовская обл.;1 037 238,00;1 128 164,00;-90 926,00;-8,06
Единая касса;;bank;;381;17;3512;Москва и обл.;1 027 503,00;742 225,00;285 278,00;38,44
Синергия;;bank;;382;2;2884;Саратовская обл.;993 102,00;989 031,00;4 071,00;0,41
Классик Эконом Банк;;bank;;383;6;3298;Северная Осетия — Алания;985 404,00;899 619,00;85 785,00;9,54
Банк РСИ;;bank;;384;3;3415;Москва и обл.;980 841,00;950 955,00;29 886,00;3,14
Соколовский;;bank;;385;0;2830;Москва и обл.;947 804,00;983 239,00;-35 435,00;-3,6
Народный Инвестиционный Банк;;bank;;386;0;2876;Самарская обл.;933 404,00;957 414,00;-24 010,00;-2,51
Деньги.Мэйл.Ру;;bank;;387;-6;3511;Москва и обл.;914 806,00;1 032 698,00;-117 892,00;-11,42
Национальный Банк Сбережений;;bank;;388;3;1949;Ивановская обл.;889 232,00;880 056,00;9 176,00;1,04
Химик;;bank;;389;-7;1114;Нижегородская обл.;873 412,00;1 019 414,00;-146 002,00;-14,32
Единая Расчетная Палата;;bank;;390;4;384;Москва и обл.;852 002,00;815 796,00;36 206,00;4,44
Моби.Деньги;;bank;;391;24;3523;Москва и обл.;834 613,00;484 077,00;350 536,00;72,41
Мурманский Социальный Коммерческий Банк;;bank;;392;0;2722;Мурманская обл.;834 171,00;835 381,00;-1 210,00;-0,14
Балаково-Банк;;bank;;393;-3;444;Саратовская обл.;819 190,00;893 082,00;-73 892,00;-8,27
РИБ;;bank;;394;14;2749;Москва и обл.;796 794,00;604 630,00;192 164,00;31,78
Космос;;bank;;395;0;2245;Москва и обл.;796 257,00;775 591,00;20 666,00;2,66
Максима;;bank;;396;-8;3379;Москва и обл.;771 144,00;915 927,00;-144 783,00;-15,81
Объединенный Банк Республики;;bank;;397;-1;1016;Чувашия;769 399,00;749 565,00;19 834,00;2,65
Стандарт-Кредит;;bank;;398;8;841;Москва и обл.;755 391,00;611 951,00;143 440,00;23,44
Геобанк;;bank;;399;3;2027;Москва и обл.;746 207,00;642 818,00;103 389,00;16,08
Металлург;;bank;;400;-3;2877;Москва и обл.;706 027,00;744 967,00;-38 940,00;-5,23
РусьРегионБанк;;bank;;401;-1;685;Москва и обл.;697 894,00;708 892,00;-10 998,00;-1,55
Прокоммерцбанк;;bank;;402;-3;2996;Москва и обл.;687 524,00;715 161,00;-27 637,00;-3,86
Ресурс-Траст;;bank;;403;-2;3122;Москва и обл.;644 202,00;654 472,00;-10 270,00;-1,57
Рента-Банк;;bank;;404;1;3095;Москва и обл.;642 199,00;630 873,00;11 326,00;1,8
Гефест;;bank;;405;2;1046;Тверская обл.;625 559,00;610 036,00;15 523,00;2,54
Славянбанк;;bank;;406;-3;804;Новгородская обл.;618 972,00;642 799,00;-23 827,00;-3,71
Берейт;;bank;;407;13;3505;Санкт-Петербург и обл.;600 706,00;425 011,00;175 695,00;41,34
Эко-Инвест;;bank;;408;3;3116;Москва и обл.;597 575,00;549 935,00;47 640,00;8,66
Банк 131;;bank;;409;-5;3538;Татарстан;582 232,00;631 493,00;-49 261,00;-7,8
Таганрогбанк;;bank;;410;0;3136;Ростовская обл.;546 275,00;564 245,00;-17 970,00;-3,18
Монета.ру;;bank;;411;5;3508;Марий Эл;542 019,00;477 731,00;64 288,00;13,46
МВС Банк;;bank;;412;2;2407;Дагестан;514 799,00;508 014,00;6 785,00;1,34
Вятич;;bank;;413;-4;2796;Рязанская обл.;512 961,00;576 280,00;-63 319,00;-10,99
Холмск;;bank;;414;3;503;Сахалинская обл.;507 177,00;440 649,00;66 528,00;15,1
Центрально-Азиатский;;bank;;415;-3;3037;Хакасия;499 263,00;518 488,00;-19 225,00;-3,71
Дружба;;bank;;416;-3;990;Тюменская обл.;496 525,00;511 683,00;-15 158,00;-2,96
Народный Банк Тувы;;bank;;417;1;1309;Тыва;493 550,00;434 851,00;58 699,00;13,5
Континенталь;;bank;;418;3;3184;Ставропольский край;433 289,00;416 268,00;17 021,00;4,09
Альтернатива;;bank;;419;6;3452;Москва и обл.;402 264,00;355 908,00;46 356,00;13,02
Лэнд Кредит;;bank;;420;3;1478;Москва и обл.;397 134,00;373 903,00;23 231,00;6,21
Северстройбанк;;bank;;421;1;3507;Вологодская обл.;379 848,00;374 688,00;5 160,00;1,38
Тайдон;;bank;;422;2;2085;Кемеровская обл.;371 281,00;371 811,00;-530;-0,14
Расчетная Палата СВМБ;;bank;;423;8;3324;Самарская обл.;370 592,00;235 977,00;134 615,00;57,05
Платежный Стандарт;;bank;;424;5;3530;Новосибирская обл.;368 958,00;266 015,00;102 943,00;38,7
Сетевая Расчетная Палата;;bank;;425;-6;3332;Татарстан;327 268,00;425 906,00;-98 638,00;-23,16
Промсвязьинвест;;bank;;426;1;2761;Дагестан;309 924,00;285 619,00;24 305,00;8,51
Перспектива;;bank;;427;8;3532;Омская обл.;294 928,00;186 333,00;108 595,00;58,28
Объединенная Расчетная Система;;bank;;428;-2;3342;Москва и обл.;282 133,00;294 164,00;-12 031,00;-4,09
Премиум;;bank;;429;10;3514;Москва и обл.;235 990,00;104 363,00;131 627,00;126,12
ПэйЮ;;bank;;430;-2;3518;Москва и обл.;224 247,00;283 065,00;-58 818,00;-20,78
Русское Финансовое Общество;;bank;;431;-1;3427;Москва и обл.;223 627,00;248 194,00;-24 567,00;-9,9
Красноярский Краевой Расчетный Центр;;bank;;432;0;3483;Красноярский край;223 604,00;226 599,00;-2 995,00;-1,32
Нарат;;bank;;433;0;1902;Татарстан;213 124,00;214 845,00;-1 721,00;-0,8
Глобал Эксчейндж;;bank;;434;0;3533;Москва и обл.;200 197,00;200 859,00;-662;-0,33
Петербургский Расчетный Центр;;bank;;435;1;3306;Санкт-Петербург и обл.;184 351,00;182 651,00;1 700,00;0,93
Элплат;;bank;;436;2;3535;Удмуртия;118 095,00;107 901,00;10 194,00;9,45
Дальний Восток;;bank;;437;0;3318;Приморский край;113 323,00;131 639,00;-18 316,00;-13,91
Инэко;;bank;;438;2;3520;Ивановская обл.;92 135,00;91 380,00;755;0,83
;;;;;;;;;;;
Яндекс.Деньги, НКО 35;655542;it;;;;;;;;;
Эвотор 30;2425896;;;;;;;;;;
Центр онлайн-обучения „Нетология-групп“ 51;855219;;;;;;;;;;
ЦНИИАГ 93;1075252;;;;;;;;;;
Центр Найма Водителей 469;2657266;;;;;;;;;;
